img;norma;equivalente;desc;inox;aco;aluminio;outros;img_aux;img_thumb;img1;img2;img3
ani_125A persp_opt.jpg;DIN 125;ISO 7089;Anilha Plana;;;;;;;;;
ani_9021 persp_opt.jpg;DIN 9021;ISO 7093;Anilha Aba Larga;;;;;;ani_9021 persp.png;;;
ani_127B persp_opt.jpg;DIN 127B;;Anilha de Pressão Forma B;;;;;;ani_127Bpersp.png;;;
ani_128A persp_opt.jpg;DIN 128A;;Anilha de Pressão Curvada Forma A;;;;;;ani_128Apersp.png;;;
ani_137A persp_opt.jpg;DIN 137A;;Anilha de Mola Curvada;;;;;;ani_137Apersp.png;;;
ani_137B persp_opt.jpg;DIN 137B;;Anilha de Mola Torcida;;;;;;ani_137B persp.png;;;
ani_6796 persp_opt.jpg;DIN 6796;ISO 106070;Anilha de Mola Cónica;;;;;;ani_6796 persp.png;;;
ani_2093 persp_opt.jpg;DIN 2093;;Anilha de Mola Côncava;;;;;;;;;
ani_433 persp_opt.jpg;DIN 433;ISO 7092;Anilha p/ Parafusos Cabeça Cilíndrica;;;;;;;;;
ani_440R persp_opt.jpg;DIN 440R;ISO 7094;Anilha Plana p/ Construções em Madeira;;;;;;;;;
ani_7349 persp_opt.jpg;DIN 7349;;Anilha Plana Reforçada;;;;;;;;;
ani_7989 persp_opt.jpg;DIN 7989;;Anilha p/ Construções Metálicas;;;;;;;;;
ani_1440 persp_opt.jpg;DIN 1440;ISO 8738;Anilha p/ Cavilha c/ Furo tipo Médio;;;;;;;;;
ani_1441 persp_opt.jpg;DIN 1441;;Anilha p/ Cavilha c/ Furo tipo Ligeiro;;;;;;ani_1441 persp.png;;;
ani_6319C_opt.jpg;DIN 6319C;;Anilhas Esféricas Forma C ;;;;;;;;;
ani_6319D_opt.jpg;DIN 6319D;;Anilhas Esféricas Forma D;;;;;;;;;
ani_6916 persp_opt.jpg;DIN 6916;ISO 14399;Anilha p/ Estruturas Metálicas;;;;;;ani_6916 persp.png;;;
ani_434 persp_opt.jpg;DIN 434;;Anilha de Cunha 8%;;;;;;;;;
ani_435 persp_opt.jpg;DIN 435;;Anilha de Cunha 14%;;;;;;ani_435 persp.png;;;
ani_6797A persp_opt.jpg;DIN 6797A;;Anilha Dentado Exterior;;;;;;;;;
ani_6798A persp_opt.jpg;DIN 6798A;;Anilha Serrilhada Exterior;;;;;;;;;
ani_6798J persp_opt.jpg;DIN 6798J;;Anilha Serrilhada Interior;;;;;;;;;
ani_6797J persp_opt.jpg;DIN 6797J;;Anilha Dentado Interior;;;;;;ani_6797A persp.png;;;
ani_6798V persp_opt.jpg;DIN 6798V;;Anilha de Embeber Serrilhada Exterior;;;;;;ani_6798V persp.png;;;
ani_vulc_opt.jpg;A503;;Anilha Vulcanizada EPDM;;;;;;;;;
ani_463 persp_opt.jpg;DIN 463;;Anilha de Segurança c/ duas Patilhas;;;;;;ani_463 persp.png;;;
ani_6799 persp_opt.jpg;DIN 6799;;Freio de Segurança Bensing;;;;;;;;;
ani_471 persp_opt.jpg;DIN 471;;Freio Exterior;;;;;;ani_471 persp.png;;;
ani_472 persp_opt.jpg;DIN 472;;Freio Interior;;;;;;;;;
